Model,Organization,Parameters,Training compute (FLOP),Finetune compute (FLOP),Training time (hours),Training hardware,Hardware quantity,Hardware utilization (MFU),Numerical format,Resolution
Emu3.5,BAAI,34100000000.0,9.86736e+24,2.78256e+24,,NVIDIA H800 SXM5,,,BF16,1280x720
Wan 2.2 14B T2V,Alibaba,14000000000.0,4.2e+23,,,NVIDIA H800 SXM5,,,,1280x720
Seaweed-7B,ByteDance,7000000000.0,9.0007697e+23,,,"NVIDIA H100 SXM5 80GB",,0.38,,1280x720
GAIA-2,Wayve,8685000000.0,7.5609676e+22,,,"NVIDIA H100 SXM5 80GB",,,,448x960
Cosmos-Transfer1-7B,NVIDIA,7000000000.0,3.6059017e+24,2.205901651968e+24,2016.0,"NVIDIA H100 SXM5 80GB",1024.0,,,1280x704
Wan 2.1 14B I2V,Alibaba,14000000000.0,2.5e+23,,,NVIDIA H800 SXM5,,,,1280x720
Step-Video-T2V,StepFun,30000000000.0,4.1015808e+24,,720.0,"NVIDIA H800 SXM5",5000.0,0.32,,768x768
Cosmos-Diffusion-14B-Video2World,NVIDIA,14000000000.0,2.8e+24,,,"NVIDIA H100 SXM5 80GB",10000.0,,,1280x704
Cosmos-Predict1-7B-Video2World,NVIDIA,7000000000.0,1.4e+24,,,"NVIDIA H100 SXM5 80GB",10000.0,,,1280x704
Cosmos-Predict1-14B-Video2World,NVIDIA,14000000000.0,2.8e+24,,,"NVIDIA H100 SXM5 80GB",10000.0,,,1280x704
Hunyuan Video,Tencent,13000000000.0,1.4814815e+23,,,NVIDIA H800 SXM5,,,BF16,1280x720
VASA-1,Microsoft Research Asia,229000000.0,4.012416e+19,,240.0,"NVIDIA RTX A6000",4.0,,,512x512
Allegro,Rhymes AI,2975000000.0,6.565847e+22,,,"NVIDIA H100 SXM5 80GB",256.0,,,720x1280
Pyramid Flow,"PKU / Kuaishou",2000000000.0,7.67e+21,,162.0,"NVIDIA A100",128.0,,,1280x768
Movie Gen Video,Meta AI,30000000000.0,1.65e+24,,331.0,"NVIDIA H100 SXM5 80GB",6144.0,,,1920x1080
Genie,Google DeepMind,10700000000.0,6.6e+22,,,"Google TPU v5p",256.0,,,160x90
GAIA-1,Wayve,9000000000.0,1.1645338e+22,,,"NVIDIA A100",,,,288x512
CogVideo,Zhipu / Tsinghua,9400000000.0,,3.0456e+19,,,,,FP16,480x480
NÜWA,"Microsoft Research / PKU",870000000.0,7.24598784e+21,,,"NVIDIA A100",,,,256x256
Wu Dao - Wen Hui,BAAI,11300000000.0,1.161216e+20,,60.0,"NVIDIA V100",64.0,,,,
